d_donor_A,d_acceptor_A
1.541959428649239960e+00,1.089086041014746709e+00
1.541610473173357976e+00,1.089426786088566024e+00
1.541257108644768170e+00,1.089771954321709035e+00
1.540900005047040500e+00,1.090120749621948271e+00
1.540540068715503752e+00,1.090472170382658534e+00
1.540178069570381059e+00,1.090825012187441878e+00
1.539813272607716055e+00,1.091180210920979610e+00
1.539446685646930657e+00,1.091536357174430316e+00
1.539076305881513118e+00,1.091895864410211692e+00
1.538703399117656634e+00,1.092257469594783315e+00
1.538328445474910433e+00,1.092620499277964008e+00
1.537950313246331246e+00,1.092986109394886496e+00
1.537567436859309300e+00,1.093356246259118203e+00
1.537181235472595109e+00,1.093729245207350598e+00
1.536791275807051216e+00,1.094105558904302500e+00
1.536398896267154646e+00,1.094483672964902787e+00
1.536003521793926296e+00,1.094864528456872099e+00
1.535604581394162116e+00,1.095248447138095216e+00
1.535200568319906367e+00,1.095637253547329326e+00
1.534793749416245801e+00,1.096028636286942248e+00
1.534383898188986795e+00,1.096422570667690444e+00
1.533969428446473771e+00,1.096820468943138449e+00
1.533550405135233552e+00,1.097222408334759036e+00
1.533126326811329099e+00,1.097629279142592340e+00
1.532697364224836933e+00,1.098040733881096243e+00
1.532264440168693787e+00,1.098455734240342707e+00
1.531828314694695381e+00,1.098873223617161443e+00
1.531389113367327859e+00,1.099293176136904915e+00
1.530946907126296219e+00,1.099715834662954528e+00
1.530500888934303250e+00,1.100142039399375937e+00
1.530051529624306017e+00,1.100570916931546739e+00
1.529599416032651815e+00,1.101001907522493051e+00
1.529145452159677454e+00,1.101433860501639606e+00
1.528688274546928128e+00,1.101868563067798235e+00
1.528228035356907988e+00,1.102305913443113683e+00
1.527765094122787826e+00,1.102745512993228649e+00
1.527300894330042125e+00,1.103185564637914728e+00
1.526833539745063639e+00,1.103628267262977136e+00
1.526364443994410847e+00,1.104071876205209302e+00
1.525893392030079454e+00,1.104516703721574844e+00
1.525420341382524025e+00,1.104962795380713958e+00
1.524945254799019212e+00,1.105410274890012534e+00
1.524469918670864121e+00,1.105856979258902806e+00
1.523992618690038325e+00,1.106304879434995669e+00
1.523513188456737666e+00,1.106754363488773540e+00
1.523031909223076186e+00,1.107205225210020627e+00
1.522548454430322051e+00,1.107657703766808721e+00
1.522061571126373414e+00,1.108113102324138177e+00
1.521572570171187078e+00,1.108569687136326198e+00
1.521079859681591540e+00,1.109029475984176782e+00
1.520583028794492586e+00,1.109492772916308878e+00
1.520083583895861068e+00,1.109957865608919514e+00
1.519581864846355934e+00,1.110424341900587031e+00
1.519075778581225666e+00,1.110894686491105565e+00
1.518566166144156293e+00,1.111367808559815540e+00
1.518052687806957568e+00,1.111844300216134229e+00
1.517535091242165013e+00,1.112324202103470716e+00
1.517013744469843495e+00,1.112807073072641373e+00
1.516488997239173964e+00,1.113292450105080267e+00
1.515960640397552739e+00,1.113780732385152961e+00
1.515429178570730118e+00,1.114271455245441356e+00
1.514894974236038472e+00,1.114764124135437351e+00
1.514358136690947987e+00,1.115258586404490604e+00
1.513819581906388212e+00,1.115753851550511211e+00
1.513279400494414784e+00,1.116249811258146929e+00
1.512737362948283870e+00,1.116747073776199750e+00
1.512194462940362971e+00,1.117244456220050308e+00
1.511649571495871092e+00,1.117743204337552809e+00
1.511102112631710348e+00,1.118243426350643555e+00
1.510552347606699986e+00,1.118744996832197192e+00
1.510000687230636185e+00,1.119247936493226847e+00
1.509447320700646022e+00,1.119751928306755628e+00
1.508891314629606351e+00,1.120257751156047199e+00
1.508332690291316336e+00,1.120765201886513518e+00
1.507771924377031114e+00,1.121273914612950007e+00
1.507208367601850396e+00,1.121784558640068763e+00
1.506642512062055683e+00,1.122296639585601996e+00
1.506075799883789035e+00,1.122808842061235657e+00
1.505507318725793686e+00,1.123321897558247295e+00
1.504935798668343816e+00,1.123837095682330034e+00
1.504362625455972324e+00,1.124352932864879140e+00
1.503786882255422563e+00,1.124870433818456750e+00
1.503208769573290082e+00,1.125389288834597323e+00
1.502628766163385476e+00,1.125909146003393202e+00
1.502047448660341900e+00,1.126429346523728725e+00
1.501463655738645819e+00,1.126951256332834550e+00
1.500877809681410158e+00,1.127474253621900679e+00
1.500289410060246409e+00,1.127998868335940985e+00
1.499698292969369628e+00,1.128525292208652830e+00
1.499104818785847781e+00,1.129052959194113193e+00
1.498509794388514837e+00,1.129581013702433356e+00
1.497912029270663359e+00,1.130110878429844590e+00
1.497311148148021021e+00,1.130642897544334557e+00
1.496706903059787930e+00,1.131177593838134543e+00
1.496099953074042421e+00,1.131714070769916258e+00
1.495489332022352347e+00,1.132253589114870174e+00
1.494875906383999586e+00,1.132795009294877087e+00
1.494259873916913062e+00,1.133338082777501254e+00
1.493641251717424012e+00,1.133882671076469784e+00
1.493019074314922534e+00,1.134429887104116075e+00
1.492394098455027018e+00,1.134978742908941518e+00
1.491766911146787056e+00,1.135528828108281374e+00
1.491136958902758769e+00,1.136080848078975913e+00
1.490505017560742607e+00,1.136633987076954178e+00
1.489871465021829211e+00,1.137187761628271065e+00
1.489236076972351830e+00,1.137742358651714358e+00
1.488599180936614363e+00,1.138297737061979564e+00
1.487960754453167223e+00,1.138853706306258262e+00
1.487320239925035148e+00,1.139410688878691902e+00
1.486678343041262895e+00,1.139968007697921726e+00
1.486034250362425979e+00,1.140526601002569196e+00
1.485388173455945093e+00,1.141086124074444985e+00
1.484741472653082539e+00,1.141644957604069255e+00
1.484093305412881980e+00,1.142204261565616275e+00
1.483442366275932178e+00,1.142765518343638487e+00
1.482790797836988528e+00,1.143326053155290234e+00
1.482137179091286949e+00,1.143887578908620473e+00
1.481481062634079304e+00,1.144450167603545898e+00
1.480823106576450554e+00,1.145013588925438253e+00
1.480164017781812724e+00,1.145577114964060561e+00
1.479502466230020907e+00,1.146142307236039271e+00
1.478840430839385434e+00,1.146706873574818708e+00
1.478176951661621663e+00,1.147271660441798957e+00
1.477511846346631685e+00,1.147836718738265871e+00
1.476844089100169066e+00,1.148403525204162001e+00
1.476173708547027230e+00,1.148971975160589354e+00
1.475500580491404756e+00,1.149542285331726976e+00
1.474825246395012890e+00,1.150113661061139325e+00
1.474146877811252532e+00,1.150687050134957312e+00
1.473465821400319342e+00,1.151262248940213562e+00
1.472781247700357232e+00,1.151840504244455943e+00
1.472094706462009128e+00,1.152419798476335577e+00
1.471405621953184584e+00,1.153000544081726808e+00
1.470714185170564736e+00,1.153582133493480599e+00
1.470019543966019970e+00,1.154166070844990788e+00
1.469322928296715070e+00,1.154750831874237438e+00
1.468623729400442945e+00,1.155337263643971601e+00
1.467922728541703581e+00,1.155924356075700210e+00
1.467219594097340263e+00,1.156512339540694212e+00
1.466514652086586823e+00,1.157101124442333262e+00
1.465807088271389835e+00,1.157691700080140773e+00
1.465098312528909430e+00,1.158282381886812429e+00
1.464387851658855988e+00,1.158873733001431150e+00
1.463675568324024345e+00,1.159465656405261891e+00
1.462960857827785066e+00,1.160058941729756432e+00
1.462243607726548600e+00,1.160653894865521396e+00
1.461523485480277218e+00,1.161250941101696021e+00
1.460803681527758080e+00,1.161846507962440489e+00
1.460084261251483939e+00,1.162440289683884576e+00
1.459363510066801428e+00,1.163034090495288053e+00
1.458641203146831433e+00,1.163628321256121367e+00
1.457917068229573898e+00,1.164223244120258904e+00
1.457190932771372571e+00,1.164819056194297486e+00
1.456464111326118083e+00,1.165414407747930037e+00
1.455736362408208029e+00,1.166009708385177035e+00
1.455005800313674991e+00,1.166607069948330633e+00
1.454274245208455607e+00,1.167204293631632028e+00
1.453541541248418278e+00,1.167801543730316638e+00
1.452807277148071563e+00,1.168399187694987740e+00
1.452070426539876058e+00,1.168998551401229102e+00
1.451331279658234497e+00,1.169599272897112741e+00
1.450589245826703122e+00,1.170202040992280423e+00
1.449844077681210486e+00,1.170807039928833282e+00
1.449094987549121027e+00,1.171415001591325611e+00
1.448343061914706631e+00,1.172024529795307357e+00
1.447588156035885643e+00,1.172635944647306916e+00
1.446831187457865431e+00,1.173248334657539971e+00
1.446071557574553967e+00,1.173862429925743189e+00
1.445308482633104852e+00,1.174478798217731157e+00
1.444541901699817554e+00,1.175097512664020627e+00
1.443773675983203386e+00,1.175716681553960585e+00
1.443002555462626457e+00,1.176338108094686197e+00
1.442229136496520736e+00,1.176961092489531735e+00
1.441453974588416287e+00,1.177585063376923813e+00
1.440676444129942224e+00,1.178210484364478283e+00
1.439895957291753348e+00,1.178838052509106893e+00
1.439114663799507365e+00,1.179465278851518528e+00
1.438332103524840422e+00,1.180092693492742262e+00
1.437547636583081045e+00,1.180721012491853905e+00
1.436761606277976888e+00,1.181349623369244650e+00
1.435974026854758279e+00,1.181978704242343081e+00
1.435184647485551412e+00,1.182608623766199463e+00
1.434394030992790725e+00,1.183238689597001292e+00
1.433601476360637506e+00,1.183869932131830449e+00
1.432806357531073216e+00,1.184502599168036463e+00
1.432009193775626299e+00,1.185136182287983786e+00
1.431210311338154906e+00,1.185770514037973733e+00
1.430409107239533961e+00,1.186406294043501175e+00
1.429605957857579712e+00,1.187043068144207458e+00
1.428800132969463954e+00,1.187681696784648411e+00
1.427990839359109199e+00,1.188322851661155699e+00
1.427179452104330837e+00,1.188965166967730802e+00
1.426366033410235712e+00,1.189608499689483123e+00
1.425550073524086914e+00,1.190253564488818139e+00
1.424731453175096529e+00,1.190900275068745851e+00
1.423910818886796381e+00,1.191547830720881995e+00
1.423087781156325393e+00,1.192196824771881269e+00
1.422261172902015369e+00,1.192848626875187001e+00
1.421432703363486372e+00,1.193501530836905689e+00
1.420602744846372723e+00,1.194155197849973593e+00
1.419770078207465813e+00,1.194810712215762738e+00
1.418935701902046764e+00,1.195466964912924812e+00
1.418100782640338453e+00,1.196122571324018669e+00
1.417262424603445092e+00,1.196780759967500440e+00
1.416420472785570928e+00,1.197441832951656071e+00
1.415575995134437104e+00,1.198104700377003784e+00
1.414729651629863971e+00,1.198768636222776518e+00
1.413881810696381969e+00,1.199433070301702875e+00
1.413032319713969365e+00,1.200098262658254589e+00
1.412179380575627974e+00,1.200766417132469233e+00
1.411323151906697326e+00,1.201437076060816178e+00
1.410464470859019936e+00,1.202109223549076455e+00
1.409602598591374933e+00,1.202783690797144089e+00
1.408737293141232749e+00,1.203460762191435052e+00
1.407869646702462063e+00,1.204139322128761735e+00
1.406998435887683252e+00,1.204820763192589128e+00
